dzip_name,dem_path,dem_size,dzip_size,enc_zstd_size,enc_gz_size
NR/e3m5dum_014.dz,e3m5dum_014.dem,396102,21856,15252,20011
NR/e3m5_056.dz,e3m5_056.dem,758767,88737,70969,84594
NR/e3m5_057.dz,e3m5_057.dem,758823,88756,72298,85848
NR/e3m5_058.dz,e3m5_egg.dem,461322,40411,32822,40018
NR/e3m5_058.dz,e3m5_058.dem,974081,101424,83100,99112
NR/e3m5_059.dz,e3m5_059.dem,772063,96801,82765,98528
NR/e3m5_100.dz,e3m5_100.dem,750748,98817,85176,101114
NR/e3m5_101.dz,e3m5_101.dem,810042,91006,73978,89186
NR/e3m5_102.dz,e3m5_102.dem,699610,100897,93433,110208
NR/e3m5_105.dz,e3m5_105.dem,493500,89799,85435,99339
NR/e3m5_109.dz,e3m5_109.dem,864567,113470,102962,124272
NR/e3m5_111.dz,e3m5_111.dem,522679,85444,78310,90794
NR/e3m5_117.dz,e3m5_117.dem,303673,77264,76780,85699
NR/e3m5_129.dz,e3m5_129.dem,182589,47051,47018,51349
NR/e3m6spi_010.dz,e3m6spi_010.dem,479685,23701,18609,26251
NR/e3m6_025.dz,e3m6_025.dem,804712,62767,49342,61194
NR/e3m6_026.dz,e3m6_026.dem,570865,60125,47806,58177
NR/e3m6_027.dz,e3m6_027.dem,881479,68810,57062,70949
NR/e3m6_028.dz,e3m6_028.dem,401184,38439,31747,39136
NR/e3m6_029.dz,e3m6_029.dem,412883,39217,32949,40867
NR/e3m6_030.dz,e3m6_030.dem,319696,38092,35475,42925
NR/e3m6_031.dz,e3m6_031.dem,329131,39198,36792,44723
NR/e3m6_032.dz,e3m6_032.dem,266006,34712,33571,40169
NR/e3m6_038.dz,e3m6_038.dem,393968,50390,45659,55995
NR/e3m6_054.dz,e3m6_054.dem,734587,84934,75508,92546
NR/e3m6_057.dz,e3m6_057.dem,355561,67160,64688,75600
NR/e3m6_059.dz,e3m6_059.dem,244890,56181,53789,61615
NR/e3m6_108.dz,e3m6_108.dem,464067,86285,81104,94972
NR/e3m7hcm_106.dz,e3m7hcm_106.dem,1318732,126177,81534,102867
NR/e3m7_044.dz,e3m7_044.dem,744037,78204,64089,77301
NR/e3m7_045.dz,e3m7_045.dem,718213,77022,60935,74028
NR/e3m7_046.dz,e3m7_046.dem,745829,77212,59941,73001
NR/e3m7_048.dz,e3m7_eggs.dem,1735233,193252,140954,199414
NR/e3m7_048.dz,e3m7_048.dem,582373,77398,64114,75802
NR/e3m7_052.dz,e3m7_horsepoo.dem,742265,86538,69362,81994
NR/e3m7_052.dz,e3m7_052.dem,646215,81441,67426,79222
NR/e3m7_056.dz,e3m7_056.dem,953179,93086,70949,86973
NR/e3m7_059.dz,e3m7_059.dem,842387,89905,70039,85015
NR/e3m7_107.dz,e3m7_107.dem,993202,102847,79861,96737
NR/e3m7_110.dz,e3m7_110.dem,1001598,105218,86258,104945
NR/e3m7_211.dz,e3m7_211.dem,284655,54658,54206,60509
NR/e3m8art1_046.dz,e3m8art1_046.dem,951628,107587,76244,91834
NR/e3m9ska_009.dz,e3m9ska_009.dem,379311,33256,25328,32115
NR/e3mszun1_021.dz,e3mszun1_021.dem,727904,39946,26283,36552
NR/e3_257.dz,e3_257.dem,2495377,278356,212729,265647
NR/e4m10art_032.dz,e4m10art_032.dem,657990,61832,42377,52248
NR/e4m11ing2_014.dz,e4m11ing2_014.dem,555231,47572,35538,45587
NR/e4m13art2_107.dz,e4m13art2_107.dem,1012063,106506,70031,85585
NR/e4m14jcr_023.dz,e4m14jcr_023.dem,664745,41646,30784,41162
NR/e4m15hcm_051.dz,e4m15hcm_051.dem,2158609,152173,103960,134494
NR/e4m16art3_118.dz,e4m16art3_118.dem,1126586,103866,74662,90074
NR/e4m17ing3_008.dz,e4m17ing3_008.dem,1141503,100408,70080,90690
NR/e4m17ing3_009.dz,e4m17ing3_009.dem,862655,75150,53781,68865
NR/e4m17ing3_010.dz,e4m17ing3_010.dem,1255086,48628,37475,49455
NR/e4m18ing4_009.dz,e4m18ing4_009.dem,646275,47767,38103,53025
NR/e4m18ing4_010.dz,e4m18ing4_010.dem,1951430,107732,63294,94335
NR/e4m19hcm2_124.dz,e4m19hcm2_124.dem,2456792,245103,165835,209993
NR/e4m1ing_009.dz,e4m1ing_009.dem,75330,11376,9722,11123
NR/e4m1ing_010.dz,e4m1ing_010.dem,132009,13476,11276,12970
NR/e4m1_018.dz,e4m1_018.dem,224812,23549,21291,25382
NR/e4m1_019.dz,e4m1_019.dem,261447,24050,20956,25102
NR/e4m1_020.dz,e4m1_020.dem,215427,25799,24214,28990
NR/e4m1_025.dz,e4m1_025.dem,285560,36794,35313,41331
NR/e4m1_026.dz,e4m1_026.dem,347414,45108,41390,48982
NR/e4m1_032.dz,e4m1_032.dem,582891,52366,49033,59203
NR/e4m1_033.dz,e4m1_033.dem,1143144,57444,53358,66651
NR/e4m1_034.dz,e4m1_034.dem,227117,44446,41868,47505
NR/e4m1_035.dz,e4m1_035.dem,226918,43175,40522,45960
NR/e4m1_036.dz,e4m1_036.dem,226554,44099,41817,47522
NR/e4m1_040.dz,e4m1_040.dem,167878,37938,36667,41102
NR/e4m1_048.dz,e4m1_048.dem,219723,46569,44477,49885
NR/e4m1_052.dz,e4m1_052.dem,153572,39910,39350,43276
NR/e4m20ion3_012.dz,e4m20ion3_012.dem,948136,68790,44997,59343
NR/e4m21fai2_115.dz,e4m21fai2_115.dem,1093623,86483,61362,79640
NR/e4m22ska_041.dz,e4m22ska_041.dem,1456245,100330,72036,93983
NR/e4m2otp_026.dz,e4m2otp_026.dem,667622,45209,33367,43234
NR/e4m2_026.dz,e4m2_026.dem,815279,57050,46383,58609
NR/e4m2_027.dz,e4m2_027.dem,455784,54387,44183,53299
NR/e4m2_029.dz,e4m2_029.dem,544773,62668,47715,58593
NR/e4m2_030.dz,e4m2_030.dem,489658,57097,49724,61148
NR/e4m2_031.dz,e4m2_031.dem,500791,61144,48963,59264
NR/e4m2_033.dz,e4m2_033.dem,482721,56572,44319,53887
NR/e4m2_034.dz,e4m2_034.dem,480339,67707,60467,72913
NR/e4m2_035.dz,e4m2_035.dem,365138,61321,55570,66709
NR/e4m2_037.dz,e4m2_037.dem,400819,62544,57444,68978
NR/e4m2_042.dz,e4m2_042.dem,464415,70311,65199,77691
NR/e4m2_044.dz,e4m2_044.dem,638665,80816,73560,89011
NR/e4m2_047.dz,e4m2_047.dem,211222,50785,48652,54775
NR/e4m2_048.dz,e4m2_048.dem,196694,51510,49710,55432
NR/e4m3ion_010.dz,e4m3ion_010.dem,453783,50549,42294,53132
NR/e4m3_033.dz,e4m3_033.dem,459780,51965,45036,55059
NR/e4m3_037.dz,e4m3_037.dem,460284,49921,40105,49223
NR/e4m3_039.dz,e4m3_039.dem,664092,60082,50183,62044
NR/e4m3_040.dz,e4m3_040.dem,580383,59338,47148,58434
NR/e4m3_041.dz,e4m3_041.dem,525030,55304,43014,53148
NR/e4m3_042.dz,e4m3_042.dem,494324,62841,56772,68869
NR/e4m3_050.dz,e4m3_050.dem,661183,72688,65423,79487
NR/e4m3_054.dz,e4m3_054.dem,355634,51921,45615,53594
NR/e4m3_058.dz,e4m3_058.dem,225476,44713,41845,47928
NR/e4m3_059.dz,e4m3_059.dem,292572,53493,50033,57611
NR/e4m4pin_014.dz,e4m4pin_014.dem,479140,36615,27156,34534
NR/e4m4_018.dz,e4m4_018.dem,303478,37741,34066,40278
